english,japanese,math,social,science,total
36,40,35,68,35,214
47,87,57,86,56,333
73,68,87,93,90,411
47,96,63,88,63,357
85,83,89,91,92,440
57,84,57,45,56,299
39,83,91,56,94,363
88,77,59,43,59,326
32,53,40,30,39,194
71,44,89,85,92,381
42,36,90,56,93,317
96,85,36,37,35,289
33,98,93,54,97,375
47,83,94,79,97,400
52,47,86,75,91,351
59,89,74,69,77,368
58,51,52,51,51,263
60,59,79,49,80,327
60,81,49,41,49,280
47,42,89,35,91,304
41,84,68,93,69,355
49,74,49,80,50,302
84,88,89,60,94,415
69,89,62,93,63,376
63,50,41,84,39,277
53,54,71,70,72,320
59,44,55,36,55,249
35,52,83,52,85,307
82,42,60,50,60,294
60,73,52,51,50,286
40,71,61,99,60,331
42,57,34,53,31,217
79,32,75,31,78,295
95,99,62,56,62,374
68,63,60,45,61,297
67,91,70,92,72,392
95,95,32,74,29,325
36,32,99,57,100,324
74,90,100,96,100,460
30,66,70,57,71,294
41,62,79,63,80,325
84,43,31,50,28,236
47,48,49,48,48,240
98,88,54,54,52,346
69,96,43,78,42,328
98,65,40,64,39,306
70,96,100,85,100,451
36,62,99,61,100,358
84,77,62,65,63,351
94,40,50,41,50,275
52,71,97,78,100,398
49,53,49,35,49,235
93,96,56,36,56,337
55,54,82,42,85,318
62,76,37,70,34,279
68,82,69,78,71,368
60,78,85,77,87,387
94,71,31,59,28,283
82,43,49,59,48,281
39,93,53,36,54,275
31,31,46,80,44,232
52,92,31,46,28,249
93,38,69,53,70,323
67,32,83,97,85,364
73,60,79,81,82,375
53,95,85,34,89,356
63,70,34,93,31,291
81,63,80,71,84,379
38,43,37,90,33,241
75,60,41,50,41,267
90,71,82,67,85,395
67,90,46,66,45,314
89,86,40,56,39,310
50,39,56,52,57,254
80,73,33,54,32,272
33,80,30,41,27,211
80,40,90,67,91,368
71,36,36,45,34,222
92,72,100,85,100,449
92,91,53,37,53,326
46,32,36,94,33,241
89,54,69,85,70,367
70,93,88,94,91,436
43,41,58,39,59,240
31,55,85,40,90,301
42,62,74,50,76,304
63,67,87,63,91,371
95,60,41,74,40,310
66,64,44,87,43,304
91,38,64,59,64,316
99,44,66,50,66,325
55,38,31,59,28,211
41,35,43,67,43,229
43,71,72,65,73,324
91,90,81,45,83,390
81,60,90,33,93,357
61,76,64,51,68,320
83,42,88,30,92,335
75,43,34,46,32,230
34,30,95,98,97,354
61,86,64,68,66,345
32,30,54,39,53,208
55,33,53,91,53,285
32,57,72,99,73,333
93,78,74,63,75,383
76,37,85,52,89,339
63,65,86,58,89,361
44,32,75,94,78,323
54,95,49,63,50,311
38,87,97,38,100,360
40,92,76,44,79,331
94,89,51,59,51,344
56,46,78,61,82,323
43,36,38,49,36,202
51,95,67,42,69,324
85,41,86,71,89,372
73,65,42,31,41,252
59,75,42,97,42,315
64,41,73,95,74,347
65,36,88,39,91,319
99,77,71,59,73,379
95,64,43,38,42,282
63,58,77,87,79,364
72,42,50,66,49,279
75,100,79,93,83,430
88,52,35,62,34,271
99,99,44,86,43,371
63,55,42,76,42,278
37,68,97,34,100,336
83,80,40,44,37,284
71,47,78,94,80,370
77,56,35,70,34,272
62,63,84,42,88,339
31,81,93,49,96,350
72,51,34,39,31,227
32,39,30,73,27,201
81,63,34,38,32,248
69,35,65,72,66,307
71,74,36,97,35,313
92,43,35,36,33,239
85,92,54,36,54,321
47,59,33,83,31,253
57,42,92,37,95,323
40,31,32,40,28,171
68,48,47,46,45,254
87,91,77,51,79,385
57,67,97,64,100,385
47,83,93,98,97,418
63,53,33,79,31,259
49,52,45,58,44,248
76,50,77,88,80,371
86,47,95,58,99,385
41,31,75,49,76,272
40,55,77,56,80,308
46,58,47,63,46,260
91,54,72,34,75,326
88,35,66,75,67,331
74,54,39,35,38,240
69,33,54,55,56,267
58,47,98,46,100,349
68,66,95,73,98,400
42,35,51,34,50,212
37,70,97,47,100,351
63,88,84,86,86,407
53,38,44,68,42,245
51,86,84,59,88,368
72,45,31,95,29,272
31,95,71,61,72,330
76,61,72,80,74,363
88,66,70,38,72,334
39,47,87,80,88,341
34,32,85,41,87,279
92,64,91,69,93,409
53,94,56,88,57,348
64,87,82,70,85,388
77,59,36,96,34,302
66,98,38,96,37,335
74,96,70,62,72,374
100,99,94,53,97,443
52,53,71,37,74,287
77,93,85,36,89,380
91,84,33,42,30,280
57,92,64,72,65,350
86,41,99,82,100,408
79,46,92,35,95,347
85,64,56,100,57,362
88,82,42,41,40,293
75,64,48,51,47,285
82,87,42,88,42,341
38,88,81,57,83,347
38,57,30,62,28,215
75,89,60,69,62,355
31,68,68,66,70,303
31,31,56,63,55,236
55,45,30,70,29,229
100,50,34,49,33,266
96,67,36,62,34,295
42,34,83,92,85,336
48,49,55,91,56,299
78,90,68,82,70,388
94,95,67,85,68,409
52,74,96,52,99,373
91,83,92,39,96,401
38,97,72,34,73,314
98,79,31,64,27,299
80,52,91,49,94,366
93,86,98,57,100,434
72,55,89,71,93,380
81,93,95,71,99,439
60,86,31,34,28,239
51,56,87,30,90,314
69,72,37,51,36,265
81,32,78,71,82,344
86,96,59,94,60,395
76,98,74,65,76,389
69,72,44,94,42,321
72,60,38,47,37,254
96,81,38,44,35,294
74,40,67,47,69,297
62,30,45,34,43,214
84,59,99,81,100,423
52,93,85,41,90,361
100,46,87,40,91,364
47,63,87,56,90,343
51,100,70,65,72,358
55,58,70,96,70,349
51,98,60,60,61,330
86,47,46,85,44,308
88,89,69,73,71,390
